StudentID,Age,StudyTimeWeekly,Absences,GPA,Gender_0,Gender_1,Ethnicity_0,Ethnicity_1,Ethnicity_2,Ethnicity_3,ParentalEducation_0,ParentalEducation_1,ParentalEducation_2,ParentalEducation_3,ParentalEducation_4,Tutoring_0,Tutoring_1,ParentalSupport_0,ParentalSupport_1,ParentalSupport_2,ParentalSupport_3,ParentalSupport_4,Extracurricular_0,Extracurricular_1,Sports_0,Sports_1,Music_0,Music_1,Volunteering_0,Volunteering_1,GradeClass_0,GradeClass_1,GradeClass_2,GradeClass_3,GradeClass_4,GradeClass_Binary
1001,17,19.83372281,7,2.929195592,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,1
1002,18,15.40875606,0,3.042914833,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,1
1003,15,4.210569769,26,0.112602254,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
1004,17,10.02882947,14,2.05421814,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,True,False,0
1005,17,4.672495273,17,1.288061182,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
1006,18,8.191218545,0,3.084183614,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,1
1007,15,15.60168047,10,2.748237415,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,1
1008,15,15.42449631,22,1.360142712,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,0
1009,17,4.562007558,1,2.89681919,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,1
1010,16,18.44446636,0,3.57347421,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,1
1011,17,11.85136366,11,2.147171625,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0
1012,17,7.598485819,15,1.559594519,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,0
1013,17,10.03871162,21,1.520077815,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,0
1014,17,12.10142507,21,1.751580958,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,0
1015,18,11.19781064,9,2.396788117,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0
1016,15,9.728100711,17,1.341520717,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,0
1017,18,10.09865608,14,2.232175278,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,0
1018,18,3.528238209,16,1.384404176,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
1019,18,16.25465809,29,0.469553323,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,0
1020,17,10.8352064,9,2.395784095,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,0
1021,16,2.621597234,2,2.7784113,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,1
1022,15,15.32314203,25,0.346894037,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,0
1023,16,18.64887957,29,0.312546231,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
1024,18,18.94613798,20,1.770131877,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,0
1025,18,7.380354648,15,1.505155622,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
1026,16,2.710337471,5,2.977851918,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,1
